sentence,relation,label,entity1,entity2,sentence_without_tags,split
"His tale of a <e1>subculture</e1> of <e2>poets</e2>, folk singers, and eccentrics who smoked marijuana and rejected conformist society was written in just three weeks.","Member-Collection (e2, e1)",13,subculture,poets,"His tale of a subculture of poets, folk singers, and eccentrics who smoked marijuana and rejected conformist society was written in just three weeks.",train
AT&T inserted a new <e1>chip</e1> into their latest <e2>modem</e2>.,"Entity-Destination (e1, e2)",6,chip,modem,AT&T inserted a new chip into their latest modem.,train
"A little <e1>girl</e1> came out of the <e2>closet</e2>, her face swollen and red from crying.","Entity-Origin (e1, e2)",8,girl,closet,"A little girl came out of the closet, her face swollen and red from crying.",train
"The nuclear hormone receptor <e1>superfamily</e1> consists of structurally related, ligand-dependent transcription <e2>factors</e2> and a large number of orphan receptors for which the ligand has not yet been identified.","Component-Whole (e2, e1)",3,superfamily,factors,"The nuclear hormone receptor superfamily consists of structurally related, ligand-dependent transcription factors and a large number of orphan receptors for which the ligand has not yet been identified.",train
This article discusses the ethics of the Soldier of Fortune's guns-for-hire <e1>advertisements</e1> that resulted in several <e2>murders</e2> across the United States.,"Cause-Effect (e1, e2)",0,advertisements,murders,This article discusses the ethics of the Soldier of Fortune's guns-for-hire advertisements that resulted in several murders across the United States.,train
The <e1>effort</e1> to buy papers is pushed into the next <e2>year</e2>.,"Entity-Destination (e1, e2)",6,effort,year,The effort to buy papers is pushed into the next year.,train
The <e1>site</e1> features comprehensive <e2>news</e2> and gossip about all Britain's biggest soaps.,"Component-Whole (e2, e1)",3,site,news,The site features comprehensive news and gossip about all Britain's biggest soaps.,train
The <e1>bust</e1> was in a <e2>suitcase</e2> and was carried into the building with as much reverence as if it had been the bier of the poet.,"Content-Container (e1, e2)",4,bust,suitcase,The bust was in a suitcase and was carried into the building with as much reverence as if it had been the bier of the poet.,train
"So there's a great <e1>bike</e1> of <e2>ants</e2> outside, and in dealing with such I've managed to bring some inside with me.","Member-Collection (e2, e1)",13,bike,ants,"So there's a great bike of ants outside, and in dealing with such I've managed to bring some inside with me.",train
This <e1>disease</e1> is spread to <e2>humans</e2> via fleas from rats infected with the bacteria Yersinia pestis.,"Entity-Destination (e1, e2)",6,disease,humans,This disease is spread to humans via fleas from rats infected with the bacteria Yersinia pestis.,train
"As discussed in the <e1>literature</e1>, several experimental <e2>problems</e2> have not been solved.","Message-Topic (e1, e2)",14,literature,problems,"As discussed in the literature, several experimental problems have not been solved.",train
An oil <e1>spill</e1> caused by a <e2>collision</e2> between a ship and a barge closed the ship channel servicing the nation's second largest port.,"Cause-Effect (e2, e1)",1,spill,collision,An oil spill caused by a collision between a ship and a barge closed the ship channel servicing the nation's second largest port.,train
The <e1>company</e1> has run into a financial <e2>problem</e2> over the last few years.,Other,18,company,problem,The company has run into a financial problem over the last few years.,train
"The <e1>team</e1> captured the provincial title with a convincing 6-1 <e2>victory</e2> over their adversaries, the Pas Huskies.",Other,18,team,victory,"The team captured the provincial title with a convincing 6-1 victory over their adversaries, the Pas Huskies.",train
A tiny Serbian <e1>village</e1> has put up a <e2>statue</e2> in honour of its adopted patron - Sylvester Stallone's Rocky.,Other,18,village,statue,A tiny Serbian village has put up a statue in honour of its adopted patron - Sylvester Stallone's Rocky.,train
The results were obtained after measuring the <e1>cell mass</e1> in a <e2>flask</e2>.,"Content-Container (e1, e2)",4,cell mass,flask,The results were obtained after measuring the cell mass in a flask.,train
<e1>Lesions</e1> restricted to the rear portion of the medial part of the precentral gyrus caused a contralateral predominantly distal <e2>leg weakness</e2>.,"Cause-Effect (e1, e2)",0,Lesions,leg weakness,Lesions restricted to the rear portion of the medial part of the precentral gyrus caused a contralateral predominantly distal leg weakness.,train
The Minnesota Zoo's Northern Trail is home to a <e1>coterie</e1> of black-tailed prairie <e2>dogs</e2>.,"Member-Collection (e2, e1)",13,coterie,dogs,The Minnesota Zoo's Northern Trail is home to a coterie of black-tailed prairie dogs.,train
"Researchers placed the compound in a <e1>tube</e1>, which then was put inside a <e2>magnet</e2>.","Entity-Destination (e1, e2)",6,tube,magnet,"Researchers placed the compound in a tube, which then was put inside a magnet.",train
The company rescheduled the new <e1>construction</e1> to early <e2>next year</e2>.,"Entity-Destination (e1, e2)",6,construction,next year,The company rescheduled the new construction to early next year.,train
Tarps Plus has the best <e1>tarps</e1> for <e2>painters</e2> on the market.,"Instrument-Agency (e1, e2)",10,tarps,painters,Tarps Plus has the best tarps for painters on the market.,train
The <e1>child</e1> was carefully wrapped and bound into the <e2>cradle</e2> by means of a cord.,Other,18,child,cradle,The child was carefully wrapped and bound into the cradle by means of a cord.,train
The top half of the network belongs to the <e1>engine</e1> of the <e2>refrigerator</e2>.,"Component-Whole (e1, e2)",2,engine,refrigerator,The top half of the network belongs to the engine of the refrigerator.,train
"<e1>Cardiovascular disease</e1> is one of the leading causes of <e2>morbidity</e2> and mortality in the UK, as well as in the developed and the developing world.","Cause-Effect (e1, e2)",0,Cardiovascular disease,morbidity,"Cardiovascular disease is one of the leading causes of morbidity and mortality in the UK, as well as in the developed and the developing world.",train
A <e1>gift</e1> arrived from the politician's big <e2>brother</e2>.,"Entity-Origin (e1, e2)",8,gift,brother,A gift arrived from the politician's big brother.,train
"The small <e1>box</e1> was placed inside the large <e2>box</e2> and the 4-inch of surrounding space filled with either shredded fabric, fiberglass insulation or no insulation.","Entity-Destination (e1, e2)",6,box,box,"The small box was placed inside the large box and the 4-inch of surrounding space filled with either shredded fabric, fiberglass insulation or no insulation.",train
The first <e1>report</e1> analyses the adaptation <e2>strategies</e2> of the EU member states.,"Message-Topic (e1, e2)",14,report,strategies,The first report analyses the adaptation strategies of the EU member states.,train
The <e1>harm</e1> has been caused by the invitation <e2>system</e2>.,"Cause-Effect (e2, e1)",1,harm,system,The harm has been caused by the invitation system.,train
"The basement carpeting is made from recycled plastic pop bottles, and the <e1>underpad</e1> was once automobile <e2>tires</e2>.","Entity-Origin (e1, e2)",8,underpad,tires,"The basement carpeting is made from recycled plastic pop bottles, and the underpad was once automobile tires.",train
The original <e1>play</e1> was inspired by a <e2>trip</e2> to Europe made by Murray Burnett in 1938.,Other,18,play,trip,The original play was inspired by a trip to Europe made by Murray Burnett in 1938.,train
"The <e1>collaboration</e1> produced the PUMP(Pittsburg urban mathematics program) <e2>curriculum</e2>, which focuses on mathematical analyses of real-world situations, the use of computational tools, and on making algebra accessible to all students.",Other,18,collaboration,curriculum,"The collaboration produced the PUMP(Pittsburg urban mathematics program) curriculum, which focuses on mathematical analyses of real-world situations, the use of computational tools, and on making algebra accessible to all students.",train
"The 575-page <e1>report</e1> by the four-person <e2>mission</e2> was released today, ahead of its presentation to the UN's Human Rights Council in Geneva on 29 September.","Product-Producer (e1, e2)",16,report,mission,"The 575-page report by the four-person mission was released today, ahead of its presentation to the UN's Human Rights Council in Geneva on 29 September.",train
"<e1>Avocado</e1> <e2>butter</e2> is a very rich, moisturizing treatment for the hair and skin, and it has some natural sunscreen properties.","Entity-Origin (e2, e1)",9,Avocado,butter,"Avocado butter is a very rich, moisturizing treatment for the hair and skin, and it has some natural sunscreen properties.",train
The <e1>body</e1> of Sandra Cantu was discovered inside a <e2>suitcase</e2> in an irrigation pond.,"Content-Container (e1, e2)",4,body,suitcase,The body of Sandra Cantu was discovered inside a suitcase in an irrigation pond.,train
"Twice when I was putting on the fully loaded Atlas, the <e1>knobs</e1> popped out of the frame <e2>slots</e2>.","Entity-Origin (e1, e2)",8,knobs,slots,"Twice when I was putting on the fully loaded Atlas, the knobs popped out of the frame slots.",train
"Instead, the <e1>success</e1> of the revolution is the reason for the <e2>celebration</e2>.","Cause-Effect (e1, e2)",0,success,celebration,"Instead, the success of the revolution is the reason for the celebration.",train
Paternally derived <e1>genetic material</e1> is inherited to the next <e2>generation</e2>.,"Entity-Destination (e1, e2)",6,genetic material,generation,Paternally derived genetic material is inherited to the next generation.,train
